,x,y,xy,x^2,x_t-1,y_t-1,m,b,gamma_numerator,gamma_denominator,gamma
0,56.05,56.37,3159.5384999999997,3141.6024999999995,,,,,,,
1,55.65,56.03,3118.0695,3096.9224999999997,56.05,56.37,,,,,
2,56.35,55.92,3151.092,3175.3225,55.65,56.03,,,,,
3,57.06,56.01,3195.9306,3255.8436,56.35,55.92,,,,,
4,55.85,55.8,3116.43,3119.2225000000003,57.06,56.01,,,,,
5,55.0,56.0,3080.0,3025.0,55.85,55.8,,,,,
6,54.88,55.42,3041.4496000000004,3011.8144,55.0,56.0,,,,,
7,54.38,56.07,3049.0866,2957.1844,54.88,55.42,,,,,
8,54.16,55.01,2979.3415999999997,2933.3055999999997,54.38,56.07,,,,,
9,54.08,55.73,3013.8783999999996,2924.6463999999996,54.16,55.01,,,,,
10,54.19,55.24,2993.4556,2936.5561,54.08,55.73,,,,,
11,54.59,55.35,3021.5565,2980.0681000000004,54.19,55.24,,,,,
12,54.65,55.99,3059.8535,2986.6225,54.59,55.35,,,,,
13,54.73,55.64,3045.1772,2995.3729,54.65,55.99,,,,,
14,54.84,54.8,3005.232,3007.4256000000005,54.73,55.64,,,,,
15,55.17,56.48,3116.0016,3043.7289,54.84,54.8,,,,,
16,55.52,56.49,3136.3248000000003,3082.4704,55.17,56.48,,,,,
17,55.31,55.3,3058.643,3059.1961,55.52,56.49,,,,,
18,55.61,56.2,3125.282,3092.4721,55.31,55.3,,,,,
19,55.98,55.84,3125.9232,3133.7603999999997,55.61,56.2,,,,,
20,55.17,56.16,3098.3471999999997,3043.7289,55.98,55.84,,,,,
21,55.36,56.86,3147.7696,3064.7296,55.17,56.16,,,,,
22,55.61,57.85,3217.0385,3092.4721,55.36,56.86,,,,,
23,54.89,58.02,3184.7178000000004,3012.9121,55.61,57.85,,,,,
24,55.12,58.54,3226.7248,3038.2144,54.89,58.02,,,,,
25,55.06,57.35,3157.6910000000003,3031.6036000000004,55.12,58.54,,,,,
26,54.48,57.68,3142.4064,2968.0703999999996,55.06,57.35,,,,,
27,53.91,56.82,3063.1661999999997,2906.2880999999998,54.48,57.68,,,,,
28,53.41,57.39,3065.1998999999996,2852.6280999999994,53.91,56.82,,,,,
29,52.98,57.58,3050.5883999999996,2806.8803999999996,53.41,57.39,,,,,
30,52.65,57.69,3037.3785,2772.0225,52.98,57.58,,,,,
31,52.14,57.98,3023.0771999999997,2718.5796,52.65,57.69,,,,,
32,52.76,58.64,3093.8464,2783.6175999999996,52.14,57.98,,,,,
33,52.18,59.05,3081.229,2722.7524,52.76,58.64,,,,,
34,52.64,58.46,3077.3344,2770.9696,52.18,59.05,,,,,
35,52.14,57.94,3020.9916,2718.5796,52.64,58.46,,,,,
36,52.02,56.19,2923.0038,2706.0804000000003,52.14,57.94,,,,,
37,52.13,56.03,2920.8439000000003,2717.5369,52.02,56.19,,,,,
38,52.04,55.5,2888.22,2708.1616,52.13,56.03,,,,,
39,52.29,54.87,2869.1522999999997,2734.2441,52.04,55.5,0.25423498502788244,42.745743762121506,0.5569278247018389,0.2267020461150796,
40,52.26,54.9,2869.0739999999996,2731.1076,52.29,54.87,0.204980620075551,45.404195992682794,1.5238065309463769,1.5690884717526843,
41,53.21,54.98,2925.4858,2831.3041000000003,52.26,54.9,0.17930808601962964,46.78113098031666,1.6800204269071617,1.5669320276658676,
42,53.89,55.65,2998.9785,2904.1321000000003,53.21,54.98,0.17089877807493398,47.240423466532434,1.083372717389398,1.8331736916740513,
43,54.0,56.58,3055.3199999999997,2916.0,53.89,55.65,0.17222580626743816,47.19604523575777,-0.0692951541356928,0.6844152557316582,
44,53.75,56.98,3062.6749999999997,2889.0625,54.0,56.58,0.1617263251179058,47.80134383329799,0.022075141091003527,0.0020643038163017293,
45,53.85,56.29,3031.2165,2899.8225,53.75,56.98,0.15474084683745984,48.190115257483896,-0.1100648673356753,0.2233169467523414,
46,54.12,55.39,2997.7068,2928.9743999999996,53.85,56.29,0.1424348222375323,48.85599077579095,0.27732140069002614,0.05574602117523186,
47,54.3,55.73,3026.1389999999997,2948.49,54.12,55.39,0.14412458785067156,48.75664700836022,0.9947167387706151,1.3611181955214169,
